,Month,DayOfWeek,Time,LateAircraftDelay
3758250,7,1,18,85.0
4270878,8,4,20,17.0
6243389,11,4,16,12.0
2483257,5,6,10,50.0
1257714,3,4,13,7.0
3734032,7,2,16,108.0
170505,1,2,18,54.0
446380,1,1,21,31.0
6717886,12,7,18,15.0
4453213,8,7,16,28.0
1238368,3,5,8,13.0
3010680,6,6,19,11.0
1259342,3,5,13,8.0
4634720,8,3,15,76.0
2774073,5,7,12,16.0
870259,2,1,17,90.0
4537311,8,6,19,39.0
3522238,6,7,17,69.0
5465541,10,2,18,43.0
1358227,3,6,17,51.0
3355430,6,3,18,41.0
5709127,10,3,17,2.0
6873824,12,5,10,32.0
3058941,6,6,14,4.0
6618183,12,2,13,42.0
6433938,11,4,18,26.0
6857677,12,2,12,24.0
3840642,7,4,21,86.0
317699,1,7,15,6.0
977031,2,4,9,12.0
670586,2,5,18,79.0
5377151,9,2,12,8.0
4101209,7,1,14,31.0
1901186,4,5,17,74.0
1988729,4,2,17,18.0
6542755,12,6,19,38.0
3494657,6,4,19,90.0
3479959,6,4,22,116.0
1538370,3,5,21,64.0
4630228,8,5,19,106.0
4478889,8,1,15,132.0
3400870,6,7,19,16.0
5101660,9,4,17,16.0
47075,1,4,19,55.0
6952431,12,5,9,41.0
3369257,6,7,20,51.0
6273270,11,7,10,119.0
2040534,4,1,16,66.0
6541568,12,6,17,56.0
4311430,8,2,17,15.0
1044353,2,1,21,18.0
1863730,4,5,20,5.0
4202427,7,1,0,25.0
2301127,4,2,18,19.0
4226462,7,2,20,43.0
60569,1,1,11,108.0
1420363,3,1,11,63.0
1660147,3,1,23,49.0
3905543,7,7,23,99.0
4179661,7,2,18,21.0
6164266,11,2,16,18.0
4310120,8,2,13,95.0
3923044,7,3,13,16.0
1193680,3,6,12,29.0
3296082,6,7,21,19.0
2796596,5,5,11,5.0
1182380,3,3,14,6.0
2805813,5,5,19,225.0
2451543,5,4,20,13.0
226929,1,4,21,32.0
4470133,8,2,7,66.0
7008526,12,5,16,22.0
607610,2,7,19,56.0
3104393,6,5,16,124.0
433254,1,2,12,22.0
1742114,3,1,18,31.0
1233397,3,4,7,11.0
2644819,5,6,16,31.0
479484,1,6,14,9.0
2757319,5,6,14,25.0
6712118,12,2,18,102.0
3809780,7,6,19,62.0
6161992,11,7,18,2.0
519013,1,1,19,51.0
6558853,12,7,14,26.0
4964460,9,1,18,123.0
3225727,6,5,11,12.0
293002,1,3,20,40.0
3053208,6,5,10,14.0
1136325,2,4,15,70.0
5061304,9,4,13,103.0
6512900,12,3,19,21.0
243013,1,2,8,78.0
1900940,4,4,9,35.0
5316930,9,7,21,14.0
383224,1,7,13,45.0
6517208,12,5,20,129.0
2914581,5,2,11,33.0
1087401,2,7,15,26.0
3682717,7,6,13,22.0
1199311,3,1,8,23.0
6646131,12,6,13,2.0
4497346,8,7,20,68.0
4462593,8,5,21,11.0
1876341,4,1,15,12.0
2022003,4,3,13,23.0
6782644,12,4,15,4.0
6362605,11,5,18,5.0
3670253,7,2,19,17.0
6731557,12,1,14,64.0
1266748,3,7,14,9.0
410533,1,4,12,44.0
33254,1,7,11,9.0
2457798,5,5,19,17.0
6221341,11,6,10,55.0
6801507,12,5,19,31.0
6309127,11,4,17,126.0
2773719,5,5,19,14.0
4884263,9,1,17,69.0
5421124,10,2,11,31.0
5094,1,5,12,14.0
3013387,6,7,20,22.0
5728620,10,5,12,83.0
6532202,12,3,16,61.0
6174954,11,3,17,34.0
2194584,4,4,16,89.0
6968598,12,6,13,47.0
6540163,12,5,20,36.0
3358042,6,6,19,183.0
1358981,3,6,12,16.0
6548183,12,1,19,14.0
3035537,6,6,18,78.0
2515432,5,1,9,7.0
4871933,9,4,17,20.0
2495552,5,5,17,49.0
462716,1,1,21,74.0
1141851,2,7,18,14.0
4713796,8,4,8,144.0
6389811,11,1,12,9.0
6509958,12,3,14,27.0
4142737,7,6,15,17.0
4152190,7,7,17,8.0
1985461,4,2,14,70.0
6335053,11,2,18,17.0
6728859,12,2,9,35.0
2716922,5,4,9,12.0
1609987,3,4,12,10.0
4188703,7,6,18,42.0
2809411,5,2,16,109.0
2539832,5,6,16,24.0
3232769,6,7,20,45.0
506689,1,2,20,53.0
5039322,9,5,8,114.0
397779,1,5,7,11.0
1121841,2,5,12,48.0
866085,2,5,12,7.0
523234,1,4,11,11.0
964262,2,2,9,18.0
3354145,6,1,11,45.0
3028942,6,4,15,18.0
1586437,3,1,7,2.0
981755,2,4,13,21.0
1495447,3,4,12,35.0
3812613,7,1,10,92.0
6748033,12,1,15,60.0
4256238,8,6,16,17.0
2098123,4,4,6,7.0
229027,1,1,13,31.0
556753,1,7,20,31.0
905178,2,2,10,16.0
3217880,6,5,16,60.0
309510,1,1,16,49.0
3078583,6,5,14,10.0
2287731,4,7,16,3.0
1576498,3,2,11,45.0
296223,1,2,18,29.0
849144,2,5,20,2.0
217966,1,4,16,29.0
4478441,8,3,14,14.0
1817086,4,5,14,14.0
4812277,8,7,18,22.0
2328642,4,7,17,2.0
4975585,9,4,19,37.0
6796673,12,5,9,38.0
2341139,4,1,17,279.0
2171561,4,2,18,106.0
5703343,10,1,20,11.0
3933080,7,4,16,8.0
6242619,11,7,16,38.0
6939238,12,1,15,11.0
1578016,3,6,15,76.0
852407,2,1,16,19.0
3491356,6,4,17,22.0
1460768,3,3,17,5.0
3000662,6,3,21,37.0
1776937,3,4,18,19.0
3871501,7,5,19,22.0
5048328,9,1,11,9.0
2448832,5,3,21,17.0
6286370,11,1,10,36.0
6857205,12,2,15,26.0
3227997,6,3,15,11.0
4238177,8,1,9,146.0
3510997,6,4,20,13.0
1079203,2,5,8,21.0
297023,1,2,17,99.0
114860,1,5,21,44.0
1304536,3,7,13,12.0
422989,1,2,14,50.0
609423,2,1,15,80.0
2382083,4,5,11,8.0
4294484,8,4,18,24.0
906025,2,3,18,64.0
3550611,6,2,18,20.0
5083540,9,3,20,16.0
3522060,6,5,19,36.0
4421209,8,1,15,26.0
4472848,8,6,12,32.0
6714363,12,4,22,39.0
702264,2,5,15,14.0
2063249,4,3,18,2.0
4297980,8,5,10,15.0
1726600,3,2,20,51.0
416479,1,5,19,6.0
997896,2,2,8,20.0
5737626,10,1,15,17.0
3287016,6,4,22,103.0
2442450,5,1,14,4.0
6948398,12,1,18,51.0
3807736,7,5,20,32.0
683018,2,2,12,10.0
6278356,11,7,19,27.0
1350701,3,1,20,51.0
6744093,12,5,16,40.0
1087033,2,7,8,20.0
818029,2,5,9,108.0
2890068,5,2,13,15.0
4491611,8,3,12,38.0
355313,1,3,17,64.0
872195,2,3,16,28.0
4550857,8,3,11,18.0
209102,1,6,10,16.0
4037413,7,5,15,18.0
1211563,3,4,11,156.0
6765289,12,3,10,4.0
5974053,11,4,20,27.0
2748776,5,2,13,15.0
2417920,5,1,16,13.0
3008881,6,5,15,14.0
2353387,4,4,12,23.0
5504920,10,5,17,20.0
3213477,6,1,12,69.0
3366976,6,4,21,67.0
1193730,3,6,15,59.0
2810649,5,7,15,22.0
4491587,8,2,17,157.0
5607522,10,4,15,18.0
6737965,12,7,13,28.0
4277405,8,6,16,17.0
6633974,12,2,10,77.0
1723674,3,7,16,71.0
3431859,6,1,18,24.0
622160,2,4,14,15.0
3532930,6,5,14,88.0
3236430,6,6,9,44.0
6832706,12,7,10,32.0
841356,2,5,18,5.0
4274220,8,5,17,57.0
1232834,3,4,20,31.0
4173317,7,4,19,32.0
1122529,2,7,17,17.0
4247142,8,4,18,31.0
976541,2,5,17,15.0
5829214,10,3,17,13.0
1778929,3,6,14,50.0
976321,2,2,9,7.0
2205097,4,2,20,98.0
3243,1,5,18,24.0
1901417,4,7,14,33.0
6000205,11,5,12,9.0
4814637,8,3,12,32.0
3929434,7,1,17,20.0
1102985,2,6,11,20.0
1888244,4,7,16,18.0
6580601,12,1,9,140.0
5061657,9,2,11,36.0
3074134,6,4,16,33.0
277443,1,4,18,43.0
1224840,3,2,17,3.0
4723769,8,3,20,1.0
6648127,12,3,21,9.0
513292,1,7,9,38.0
3471559,6,3,11,85.0
3356975,6,5,21,71.0
1258505,3,5,18,20.0
3531960,6,3,17,22.0
5690174,10,3,18,37.0
6514467,12,4,14,45.0
472910,1,2,15,26.0
4337944,8,2,11,45.0
3498028,6,1,21,26.0
6730403,12,1,20,291.0
2226521,4,3,21,43.0
1758244,3,7,20,88.0
296586,1,2,14,10.0
481674,1,1,19,45.0
6303752,11,6,15,20.0
1583121,3,5,10,61.0
6838661,12,5,11,93.0
6680680,12,2,10,1.0
2784334,5,1,17,78.0
6521208,12,6,10,74.0
6811654,12,3,10,121.0
3668690,7,2,19,15.0
899513,2,5,19,56.0
5321939,9,1,20,46.0
3825036,7,1,21,80.0
3805632,7,4,21,113.0
6653350,12,7,21,17.0
1218019,3,7,15,173.0
4190237,7,4,12,27.0
4144300,7,6,15,7.0
6874585,12,6,17,221.0
6018401,11,3,21,18.0
290018,1,7,10,6.0
1674600,3,2,18,8.0
6836450,12,3,15,34.0
4742927,8,4,16,3.0
5869053,10,5,15,57.0
4528309,8,3,15,74.0
6109466,11,3,14,122.0
5544429,10,5,11,67.0
4498600,8,1,16,31.0
2636398,5,7,18,32.0
1094175,2,3,19,3.0
968080,2,6,13,52.0
762715,2,2,9,126.0
3049881,6,4,20,11.0
380903,1,4,18,1.0
6510506,12,3,13,19.0
3120320,6,7,18,114.0
3975291,7,2,21,150.0
587861,1,3,16,21.0
4081319,7,4,17,56.0
4258029,8,7,18,297.0
3117997,6,4,11,20.0
1808741,4,2,15,17.0
3275042,6,1,15,51.0
6313174,11,5,10,50.0
1573979,3,2,14,12.0
3933532,7,4,21,130.0
2148468,4,2,17,24.0
2417581,5,7,15,6.0
5333383,9,5,12,12.0
1860448,4,4,16,33.0
4239511,8,1,20,82.0
6229933,11,5,14,29.0
3759983,7,3,21,51.0
607367,2,7,19,95.0
2439208,5,7,16,20.0
993269,2,1,9,29.0
502537,1,1,18,46.0
4169465,7,5,15,163.0
3648698,7,3,19,104.0
1565061,3,4,14,21.0
4609354,8,1,19,142.0
737301,2,5,8,109.0
6774844,12,5,8,42.0
2088287,4,4,19,14.0
2909078,5,5,10,34.0
995094,2,4,20,57.0
3638554,7,7,20,72.0
6820634,12,3,18,40.0
5729128,10,6,17,48.0
4063078,7,1,19,62.0
2042186,4,5,18,38.0
6262524,11,5,11,87.0
2945908,5,2,18,72.0
5695813,10,5,20,80.0
3024531,6,3,17,13.0
3541599,6,7,17,26.0
1912317,4,5,12,30.0
1720878,3,7,19,124.0
209880,1,6,10,62.0
1677821,3,6,16,12.0
3369627,6,7,19,151.0
6716480,12,6,14,3.0
6687205,12,5,18,54.0
5605145,10,3,12,94.0
2157813,4,1,18,144.0
1616575,3,7,14,51.0
34336,1,7,17,19.0
6733078,12,1,17,78.0
3441576,6,5,10,12.0
3933103,7,4,14,51.0
6624908,12,3,15,18.0
6600003,12,2,10,10.0
2821705,5,4,19,48.0
3839975,7,1,19,85.0
3524302,6,7,20,17.0
1813634,4,4,7,126.0
4025537,7,5,18,66.0
4731796,8,4,14,8.0
2619441,5,6,14,50.0
404549,1,7,20,11.0
6528147,12,1,8,4.0
1670457,3,7,21,45.0
225030,1,1,15,186.0
5885548,10,3,15,33.0
3235861,6,1,18,51.0
1099926,2,5,16,16.0
2628651,5,7,13,79.0
4603345,8,7,19,10.0
101616,1,7,17,8.0
3031986,6,5,19,28.0
6654881,12,7,14,222.0
308301,1,6,16,158.0
3232442,6,1,13,113.0
2630945,5,4,11,77.0
2793207,5,3,20,113.0
3621430,7,2,16,46.0
992209,2,5,15,5.0
3522057,6,2,19,93.0
3114241,6,5,18,57.0
643920,2,4,19,16.0
725766,2,6,15,18.0
4068300,7,7,18,15.0
2043200,4,3,12,23.0
1395892,3,1,21,88.0
3065398,6,1,19,17.0
5408587,10,5,20,21.0
6522411,12,7,15,57.0
6843128,12,5,10,7.0
5961007,11,7,15,119.0
4485224,8,2,10,38.0
242693,1,6,10,331.0
3637799,7,7,18,167.0
3799458,7,7,20,105.0
5456296,10,5,9,30.0
175163,1,5,16,21.0
666730,2,4,21,36.0
547496,1,4,15,15.0
4230383,7,5,9,15.0
4054812,7,4,20,14.0
6900106,12,1,18,15.0
5747123,10,2,17,20.0
6240656,11,7,10,83.0
2037906,4,1,14,52.0
482297,1,4,13,14.0
3645748,7,2,16,9.0
2379828,4,3,15,65.0
5728925,10,5,15,121.0
6983249,12,1,14,150.0
4701398,8,4,19,96.0
6506343,12,2,19,33.0
3392061,6,6,13,29.0
6894753,12,4,19,34.0
6951423,12,2,12,26.0
3383470,6,5,16,59.0
2291469,4,1,11,105.0
3539229,6,2,5,21.0
523378,1,7,14,20.0
239480,1,7,14,81.0
3354166,6,1,16,29.0
4409101,8,1,11,42.0
6543075,12,6,12,27.0
4791758,8,5,19,27.0
519008,1,2,19,154.0
2331316,4,5,20,152.0
3231691,6,5,12,22.0
1379739,3,5,15,27.0
4458176,8,1,12,31.0
470161,1,5,17,91.0
6513969,12,4,14,12.0
1392645,3,6,13,16.0
952243,2,3,18,8.0
6519411,12,5,14,38.0
3029753,6,5,21,90.0
