,Month,DayOfWeek,Time,CarrierDelay
993432,2,1,20,24.0
2896266,5,1,18,4.0
4783164,8,4,15,6.0
6944194,12,3,10,14.0
4104051,7,5,16,10.0
37970,1,1,14,1.0
3205005,6,3,6,15.0
3237623,6,7,20,33.0
6954897,12,1,22,31.0
4799134,8,1,21,200.0
3273576,6,7,10,26.0
2041337,4,5,18,7.0
268281,1,4,23,22.0
6520078,12,6,11,83.0
6928408,12,7,19,119.0
801848,2,7,6,255.0
552157,1,5,17,9.0
513828,1,6,6,59.0
3057041,6,6,14,6.0
3252103,6,5,16,11.0
1207075,3,3,9,50.0
5194369,9,1,21,32.0
4351451,8,6,13,130.0
1778987,3,6,18,68.0
3110267,6,7,16,38.0
1661869,3,7,14,14.0
4116201,7,2,9,55.0
1238752,3,6,16,32.0
2774453,5,2,15,9.0
4724931,8,4,6,35.0
6876551,12,2,14,40.0
5242313,9,5,8,87.0
3710354,7,4,18,28.0
3481528,6,3,18,142.0
330104,1,3,14,26.0
4245632,8,3,8,25.0
1073168,2,7,16,25.0
951705,2,3,16,7.0
1512021,3,7,16,53.0
3978184,7,6,9,4.0
5086779,9,5,7,20.0
6120737,11,1,17,16.0
5250120,9,6,16,13.0
3909845,7,3,19,26.0
1293841,3,7,6,13.0
6934798,12,4,9,41.0
210791,1,7,15,27.0
1649950,3,4,14,25.0
4007059,7,5,21,24.0
5923505,10,3,9,284.0
640605,2,3,19,6.0
4094544,7,7,19,122.0
6444528,11,4,13,4.0
630365,2,7,10,20.0
6783,1,6,15,8.0
1293823,3,1,19,14.0
2449421,5,3,11,1.0
1684333,3,1,14,8.0
46951,1,4,15,101.0
1145185,2,2,17,2.0
5884696,10,1,10,66.0
3780081,7,1,7,35.0
4367289,8,3,17,119.0
4392786,8,1,7,140.0
1643320,3,2,14,20.0
2178093,4,3,14,45.0
2908976,5,1,19,18.0
2626190,5,3,17,112.0
4139628,7,4,15,2.0
4584626,8,1,14,3.0
337363,1,6,9,69.0
4340596,8,5,7,48.0
3494056,6,2,14,35.0
6710344,12,1,14,24.0
4951358,9,4,16,3.0
3779240,7,6,12,68.0
5805427,10,4,19,21.0
6682249,12,1,6,74.0
6319055,11,3,15,34.0
2105278,4,3,8,16.0
344651,1,5,6,15.0
692958,2,5,18,1.0
4356696,8,3,17,31.0
2297085,4,7,20,44.0
4230454,7,5,11,13.0
1530215,3,4,20,5.0
1843829,4,6,16,138.0
5495360,10,6,8,26.0
3002857,6,4,20,5.0
621801,2,4,12,61.0
3124306,6,2,9,6.0
821712,2,2,20,21.0
2827447,5,2,17,5.0
347831,1,1,20,50.0
1678505,3,6,9,4.0
180750,1,2,8,45.0
5035428,9,1,13,23.0
2109646,4,4,21,157.0
1046988,2,5,14,108.0
4139432,7,1,11,35.0
6204067,11,5,9,28.0
3996454,7,6,19,2.0
6980311,12,5,10,6.0
2420900,5,1,15,47.0
4560922,8,3,6,42.0
2501008,5,7,19,73.0
886790,2,5,19,4.0
47733,1,4,15,5.0
1301929,3,6,9,44.0
1467839,3,1,8,112.0
5150711,9,6,14,91.0
1804844,4,1,9,23.0
2081657,4,2,18,3.0
2056334,4,5,17,24.0
2293008,4,5,13,103.0
5870548,10,6,10,145.0
5137155,9,7,14,58.0
2132075,4,4,10,4.0
1262997,3,6,13,32.0
1397120,3,1,18,43.0
3438737,6,1,16,4.0
2270079,4,4,18,2.0
3556602,6,1,18,52.0
33495,1,7,13,2.0
3571399,6,7,11,17.0
1888575,4,3,9,11.0
1249223,3,2,20,18.0
4827660,8,7,20,110.0
1049760,2,5,15,38.0
2343974,4,4,15,9.0
2760835,5,4,13,62.0
4221760,7,5,19,1.0
2532551,5,2,10,22.0
3156966,6,2,9,32.0
298841,1,3,20,4.0
678372,2,1,13,8.0
2784812,5,7,16,19.0
6721697,12,3,8,78.0
2144191,4,4,16,12.0
8823,1,7,20,10.0
1773932,3,2,20,62.0
2312584,4,4,18,14.0
6586753,12,4,7,41.0
2501491,5,5,14,21.0
993934,2,4,15,63.0
1000501,2,6,18,8.0
6054228,11,1,9,16.0
3046318,6,3,15,3.0
1895990,4,2,15,12.0
1512980,3,2,13,30.0
2048772,4,6,16,3.0
10324,1,7,18,20.0
3063249,6,1,19,9.0
2358823,4,5,20,32.0
3906040,7,7,7,36.0
3917545,7,3,21,9.0
1540363,3,1,17,5.0
5658439,10,3,13,15.0
3527284,6,7,18,41.0
524699,1,5,10,1.0
3849158,7,7,22,696.0
4778663,8,5,7,23.0
2076221,4,6,8,19.0
4303948,8,7,16,5.0
6505826,12,1,21,1.0
987959,2,5,11,13.0
1453885,3,4,8,6.0
6016719,11,3,13,21.0
1227192,3,2,19,14.0
983174,2,4,11,19.0
3967816,7,6,8,10.0
1160831,2,7,8,25.0
2878393,5,6,15,22.0
3860320,7,3,11,16.0
5764929,10,6,9,51.0
472577,1,3,17,99.0
5527262,10,2,13,18.0
2967282,5,5,21,54.0
1675615,3,1,15,10.0
3014865,6,7,21,57.0
6593955,12,7,19,233.0
1076757,2,5,14,100.0
1924977,4,4,6,70.0
6333083,11,3,19,29.0
1527496,3,7,15,59.0
5131024,9,2,15,8.0
2111554,4,7,12,10.0
5106109,9,1,8,43.0
893134,2,7,18,120.0
4410471,8,1,13,48.0
5061192,9,5,18,22.0
6593061,12,6,20,36.0
5520995,10,1,13,33.0
4986084,9,1,8,86.0
2184412,4,3,17,15.0
3805419,7,4,19,23.0
6363662,11,1,22,101.0
4462542,8,5,16,9.0
707608,2,5,13,10.0
2107751,4,1,12,84.0
4729394,8,1,17,2.0
6532591,12,3,19,2.0
6424471,11,3,7,108.0
3437905,6,5,12,40.0
988156,2,3,13,27.0
3269497,6,4,17,13.0
2372721,4,5,10,1.0
5879859,10,2,13,15.0
3355,1,5,18,18.0
4292673,8,3,11,1.0
4700578,8,2,7,176.0
670966,2,5,13,4.0
5636597,10,4,17,19.0
3451502,6,5,10,30.0
989308,2,5,18,4.0
1888737,4,3,8,12.0
4762940,8,4,9,7.0
3392189,6,1,14,7.0
1699254,3,6,11,35.0
5103288,9,5,13,19.0
1663899,3,2,12,3.0
3353087,6,7,10,27.0
4731305,8,3,21,5.0
2326375,4,3,16,11.0
6788097,12,6,6,53.0
6527963,12,1,17,2.0
2900544,5,6,15,78.0
5818700,10,5,6,18.0
3592649,6,2,18,7.0
3314595,6,7,16,26.0
3139616,6,5,21,66.0
3317727,6,1,7,36.0
346906,1,4,15,44.0
6544787,12,7,13,23.0
328099,1,4,13,155.0
6517683,12,5,21,23.0
2690261,5,5,7,42.0
2193883,4,4,9,15.0
4360556,8,5,12,8.0
3335785,6,5,16,9.0
1318025,3,6,19,20.0
1152071,2,6,18,24.0
6272348,11,6,10,1.0
6827428,12,4,11,3.0
1511931,3,4,13,26.0
2643558,5,5,21,48.0
2951774,5,4,15,11.0
1412586,3,6,19,191.0
6523787,12,7,11,37.0
50771,1,5,16,10.0
6747343,12,1,10,36.0
1205689,3,3,7,8.0
1760655,3,5,11,12.0
4485374,8,4,14,6.0
1375702,3,3,13,29.0
4990652,9,3,7,2.0
4048695,7,4,22,18.0
3736842,7,4,15,14.0
3832091,7,1,12,44.0
663428,2,3,18,6.0
2251576,4,2,7,42.0
1018399,2,6,7,77.0
3308061,6,4,18,81.0
6785105,12,7,18,11.0
4564445,8,5,19,45.0
1702666,3,1,13,54.0
4586996,8,2,16,8.0
6994068,12,1,16,3.0
6715912,12,5,8,2.0
2626678,5,5,10,52.0
1630404,3,1,19,66.0
952005,2,3,12,93.0
4477310,8,1,20,19.0
3144804,6,5,13,16.0
3770111,7,1,6,35.0
444615,1,1,11,1.0
3787200,7,6,10,28.0
4685935,8,2,14,32.0
6947963,12,6,15,6.0
2628441,5,4,10,21.0
6233841,11,4,18,45.0
2141473,4,7,17,48.0
3377154,6,4,21,18.0
3597235,6,6,18,47.0
3285050,6,2,18,11.0
2014350,4,6,20,7.0
6840822,12,2,15,27.0
3833788,7,4,11,129.0
697690,2,5,16,149.0
1311820,3,4,18,21.0
5936371,10,5,16,57.0
612891,2,2,8,23.0
5845831,10,2,19,13.0
2401523,5,3,14,10.0
6032752,11,4,18,25.0
3204537,6,3,21,12.0
3399667,6,7,15,7.0
2375424,4,7,14,10.0
4748280,8,4,22,23.0
4337949,8,5,9,44.0
2372648,4,5,23,7.0
4345417,8,2,6,89.0
6492015,12,4,8,8.0
448028,1,3,8,31.0
853605,2,2,15,1.0
5307216,9,1,13,17.0
1246075,3,1,10,9.0
281986,1,1,21,2.0
6541863,12,6,19,6.0
4049985,7,2,22,80.0
2580446,5,5,13,12.0
4826796,8,7,20,77.0
3876271,7,5,6,4.0
4563424,8,6,9,38.0
2165830,4,6,9,37.0
3850159,7,7,10,11.0
69478,1,4,18,4.0
2613297,5,4,16,4.0
2530271,5,6,13,29.0
2260095,4,3,6,20.0
3146650,6,7,19,31.0
85326,1,2,12,5.0
5723789,10,5,10,58.0
712635,2,2,15,13.0
931692,2,5,17,1.0
6120619,11,6,14,32.0
3026302,6,4,14,6.0
2384264,4,7,14,32.0
831941,2,1,13,149.0
1409892,3,6,18,17.0
2520735,5,7,10,41.0
4002493,7,2,15,1.0
1282817,3,7,17,55.0
3640798,7,1,7,25.0
1365005,3,3,16,34.0
5856911,10,1,16,20.0
6574677,12,1,20,90.0
2449522,5,3,16,12.0
3967111,7,4,22,93.0
401725,1,3,9,3.0
4818339,8,1,19,4.0
955063,2,7,13,26.0
972206,2,1,19,27.0
6839633,12,4,16,10.0
1110373,2,1,19,18.0
4148979,7,3,17,52.0
4508638,8,2,14,19.0
1189090,3,5,15,3.0
2636657,5,2,10,33.0
946105,2,2,16,33.0
938016,2,3,21,2.0
4786201,8,2,12,129.0
6685318,12,5,10,16.0
2696836,5,4,21,98.0
1032065,2,4,9,29.0
2481102,5,6,15,12.0
670080,2,5,18,4.0
1461476,3,3,15,16.0
3312874,6,1,19,19.0
6521880,12,6,18,5.0
4486024,8,4,17,6.0
6631698,12,3,9,79.0
4777139,8,1,7,52.0
2102,1,4,18,13.0
4411696,8,2,17,2.0
336540,1,4,14,44.0
4010763,7,5,15,72.0
2030292,4,5,8,37.0
1022014,2,7,18,32.0
6641898,12,1,11,9.0
6858502,12,2,14,1011.0
6799939,12,3,14,17.0
4393696,8,3,6,26.0
6273894,11,7,16,17.0
924695,2,5,11,71.0
252530,1,5,12,44.0
2434022,5,5,21,15.0
5933666,10,3,16,5.0
6075569,11,5,10,29.0
2530902,5,7,10,36.0
4055719,7,2,7,52.0
5893583,10,3,14,3.0
3301577,6,6,8,17.0
5939275,10,1,20,3.0
4532031,8,7,15,42.0
3527400,6,7,18,34.0
1913403,4,3,19,1.0
7694,1,6,14,9.0
6426477,11,7,10,8.0
717866,2,5,17,2.0
1818827,4,5,21,17.0
5495184,10,6,12,1.0
346230,1,4,20,132.0
4478955,8,5,13,25.0
3227545,6,3,16,36.0
3439766,6,7,19,1.0
6804292,12,2,12,42.0
715913,2,2,18,1.0
130105,1,3,8,46.0
2632976,5,4,12,19.0
677070,2,7,13,3.0
3323783,6,1,13,15.0
980153,2,7,14,18.0
6974931,12,6,18,3.0
760236,2,5,19,15.0
6458359,11,7,16,3.0
6342510,11,7,10,62.0
4793987,8,2,18,83.0
232431,1,1,6,88.0
6403930,11,1,11,2.0
6308307,11,4,13,37.0
2378590,4,2,8,98.0
841292,2,4,21,38.0
6536575,12,4,6,29.0
4102830,7,2,10,51.0
1239982,3,6,14,18.0
3104378,6,5,15,5.0
568019,1,3,14,35.0
3523475,6,1,12,18.0
4166330,7,6,21,17.0
3886538,7,6,5,36.0
4976238,9,5,16,15.0
883380,2,5,11,37.0
6652716,12,2,15,9.0
108675,1,4,17,1.0
4028442,7,3,16,19.0
1415182,3,7,18,61.0
684493,2,2,13,29.0
6740241,12,2,18,29.0
4557001,8,3,12,60.0
3518075,6,4,20,30.0
6980757,12,5,8,18.0
102381,1,4,20,41.0
3421906,6,4,18,8.0
3744877,7,4,16,132.0
6221191,11,6,5,45.0
6656888,12,3,9,16.0
3284121,6,1,8,40.0
6700415,12,6,15,109.0
60191,1,1,15,8.0
6392143,11,5,19,36.0
786672,2,4,10,72.0
6966976,12,3,13,19.0
1618146,3,6,19,13.0
333298,1,7,8,9.0
443076,1,6,19,17.0
2799286,5,3,19,43.0
4270517,8,4,18,5.0
2785468,5,6,13,213.0
4034237,7,2,7,25.0
1225638,3,2,19,10.0
5893860,10,4,20,6.0
6586967,12,4,13,29.0
6961805,12,1,16,20.0
2847013,5,1,15,72.0
4549071,8,1,17,34.0
4430233,8,6,14,14.0
996814,2,7,17,18.0
6942350,12,2,18,2.0
5852656,10,1,13,14.0
3260660,6,4,9,45.0
1695645,3,6,13,11.0
6189230,11,1,13,8.0
5867646,10,5,10,29.0
305725,1,4,16,7.0
6684512,12,3,13,24.0
894846,2,1,7,136.0
3203537,6,2,14,62.0
2224383,4,3,19,7.0
1696624,3,3,13,24.0
5139774,9,4,12,167.0
2777938,5,5,18,41.0
835303,2,6,19,20.0
6151859,11,5,10,116.0
6931037,12,7,13,59.0
529432,1,3,22,15.0
3549051,6,6,18,9.0
4191591,7,1,10,10.0
10013,1,7,13,27.0
4053695,7,4,14,16.0
6426651,11,7,16,5.0
146812,1,5,6,73.0
1027579,2,5,19,27.0
6954211,12,2,18,110.0
4881156,9,7,16,78.0
6760380,12,4,16,2.0
3199500,6,7,16,9.0
6271929,11,5,19,3.0
910938,2,1,14,158.0
6526379,12,1,12,4.0
6510598,12,3,18,34.0
453676,1,2,15,45.0
5865468,10,2,18,100.0
6144827,11,7,15,7.0
4080477,7,1,10,77.0
5260143,9,3,19,28.0
1125608,2,5,20,2.0
2170442,4,4,10,15.0
1359716,3,7,20,16.0
4368636,8,5,11,18.0
3550039,6,1,18,8.0
5691355,10,2,15,24.0
2618371,5,1,12,29.0
396246,1,2,7,16.0
1949670,4,7,20,50.0
910001,2,3,12,155.0
4370964,8,1,12,122.0
650616,2,6,16,3.0
6251155,11,4,21,10.0
2795911,5,5,11,38.0
5794342,10,6,6,71.0
5127137,9,5,14,5.0
3023376,6,3,18,1.0
4131068,7,6,20,519.0
5084705,9,4,20,29.0
6724849,12,6,15,2.0
1252154,3,3,9,48.0
1639221,3,6,10,31.0
2391943,5,7,13,1.0
4484131,8,7,22,18.0
2358315,4,5,7,161.0
1710644,3,7,10,12.0
6764922,12,4,15,3.0
3814401,7,2,7,417.0
845049,2,5,10,12.0
1140006,2,1,15,86.0
498185,1,3,20,56.0
1778713,3,6,11,11.0
4077223,7,2,7,20.0
3380196,6,4,11,19.0
1142160,2,5,13,10.0
1949669,4,7,17,39.0
1962245,4,7,6,18.0
4872778,9,4,19,14.0
1191270,3,5,16,11.0
2714008,5,4,20,47.0
503173,1,4,17,22.0
6610215,12,3,11,62.0
2634644,5,2,12,4.0
4984283,9,5,18,103.0
1514259,3,2,19,15.0
385129,1,1,16,34.0
4144739,7,7,16,18.0
504631,1,6,18,679.0
636900,2,2,20,7.0
3278649,6,4,19,7.0
6588402,12,6,18,108.0
6031010,11,7,8,4.0
6718141,12,7,19,30.0
3477596,6,1,14,110.0
4052700,7,4,11,1.0
1503018,3,6,12,17.0
2271728,4,6,11,11.0
2429711,5,4,16,11.0
1466510,3,7,13,106.0
652893,2,7,16,4.0
1666135,3,1,22,11.0
5690234,10,4,10,60.0
4773205,8,6,18,118.0
1957832,4,5,8,83.0
1531361,3,1,15,10.0
2052396,4,2,16,26.0
623740,2,5,20,13.0
5951626,11,4,9,18.0
620263,2,4,17,7.0
82247,1,1,20,10.0
6558070,12,1,19,33.0
1411763,3,1,10,28.0
4805879,8,6,17,7.0
4154772,7,6,18,14.0
5554627,10,2,7,13.0
3919197,7,7,19,35.0
696937,2,7,7,12.0
3571626,6,7,11,59.0
4760295,8,6,18,34.0
2056949,4,5,21,3.0
777446,2,5,11,15.0
1228356,3,3,21,4.0
3738536,7,2,23,25.0
2814987,5,5,12,7.0
758549,2,2,18,90.0
4574289,8,4,16,90.0
3697004,7,3,17,1.0
1798603,4,6,9,97.0
4459728,8,3,18,36.0
3279398,6,5,19,20.0
6032351,11,5,17,11.0
2472943,5,3,9,22.0
3064265,6,1,12,12.0
1638099,3,6,19,14.0
1321186,3,4,22,42.0
1911705,4,2,15,16.0
1981426,4,2,8,48.0
985208,2,5,11,52.0
6180500,11,1,9,12.0
663507,2,3,11,38.0
1163602,2,2,9,75.0
6730867,12,1,13,22.0
1934892,4,3,7,47.0
1841849,4,5,19,100.0
482765,1,1,22,6.0
32513,1,7,14,1.0
3934451,7,1,9,127.0
3064775,6,1,19,1.0
3945042,7,3,17,16.0
2372786,4,5,14,54.0
1857936,4,3,19,7.0
6920571,12,2,18,27.0
2310730,4,6,17,15.0
242676,1,6,14,20.0
537043,1,3,22,6.0
1662845,3,2,10,1.0
3053596,6,5,20,100.0
1922828,4,1,7,22.0
894215,2,1,16,21.0
3621557,7,2,12,4.0
3494783,6,1,11,6.0
6296649,11,2,20,18.0
6178842,11,7,17,17.0
1073939,2,2,11,49.0
4323210,8,5,12,41.0
374563,1,6,10,18.0
3671122,7,3,13,21.0
2290639,4,2,14,67.0
3935781,7,3,18,158.0
2008679,4,7,16,9.0
2331982,4,6,20,5.0
198391,1,6,7,49.0
1824418,4,7,20,3.0
2519389,5,5,12,15.0
46109,1,4,16,3.0
1195234,3,7,14,3.0
327055,1,1,17,24.0
4947235,9,2,9,17.0
6837722,12,4,9,2.0
4250459,8,5,16,1.0
6391462,11,7,11,16.0
1263459,3,6,11,4.0
4803843,8,7,7,34.0
1580385,3,1,7,8.0
2587680,5,2,16,65.0
6973611,12,7,18,17.0
1098632,2,5,21,108.0
1752251,3,6,16,11.0
757452,2,7,12,15.0
4969387,9,2,21,19.0
4883608,9,1,9,15.0
1400727,3,1,16,4.0
6783572,12,1,16,8.0
3836676,7,2,15,6.0
3205182,6,3,13,132.0
1215256,3,6,15,13.0
2763201,5,6,8,133.0
3386284,6,4,11,7.0
3421636,6,5,0,2.0
4220579,7,4,12,4.0
5042931,9,1,6,7.0
5971242,11,3,14,23.0
3186285,6,6,13,49.0
4065891,7,2,13,31.0
6584287,12,7,13,38.0
500336,1,1,21,38.0
3418743,6,2,18,9.0
2173433,4,1,16,20.0
140730,1,4,20,80.0
4496296,8,6,6,30.0
263051,1,7,17,18.0
6813111,12,6,19,25.0
4260956,8,1,18,32.0
3855531,7,1,6,428.0
1264691,3,7,12,6.0
1918153,4,3,14,27.0
3852392,7,6,10,127.0
2899784,5,2,16,19.0
217923,1,4,17,128.0
1231386,3,3,16,13.0
4431494,8,7,21,44.0
4472146,8,5,9,55.0
4633918,8,7,8,18.0
3592376,6,2,17,16.0
1224345,3,1,8,1.0
2232346,4,1,16,18.0
5008195,9,3,21,19.0
5439045,10,7,20,18.0
997779,2,3,7,67.0
6709726,12,7,20,12.0
1130971,2,1,17,43.0
4706465,8,5,7,69.0
640976,2,3,15,1.0
3068041,6,2,17,1.0
6165088,11,2,13,11.0
5047006,9,2,7,41.0
1046488,2,4,14,42.0
3122541,6,7,19,23.0
295028,1,4,7,50.0
3343173,6,1,10,35.0
2967862,5,7,19,25.0
3685694,7,7,20,107.0
4224272,7,7,20,16.0
760944,2,6,8,55.0
5380330,9,5,16,18.0
1240339,3,6,11,2.0
5909083,10,2,15,50.0
6028167,11,7,19,25.0
1435084,3,6,17,21.0
6562689,12,2,8,41.0
3315730,6,6,14,50.0
1699772,3,2,15,75.0
1923988,4,2,8,16.0
19654,1,3,12,15.0
251468,1,3,13,47.0
6553273,12,3,16,36.0
4955737,9,4,18,19.0
5004684,9,1,19,10.0
6770051,12,6,10,4.0
3124029,6,7,20,78.0
4289871,8,2,6,28.0
718137,2,4,20,17.0
609085,2,7,17,5.0
6713598,12,3,21,24.0
1586823,3,7,20,100.0
2353928,4,7,17,19.0
1634057,3,6,7,14.0
3028753,6,4,18,6.0
1697411,3,4,21,102.0
6530149,12,2,18,9.0
330348,1,2,15,33.0
6059509,11,2,12,41.0
3489178,6,5,8,13.0
3005958,6,4,14,7.0
3415693,6,2,11,17.0
866361,2,5,15,12.0
1660635,3,1,13,139.0
6796014,12,4,19,32.0
2349010,4,7,20,2.0
1630154,3,4,19,22.0
1670288,3,7,13,18.0
5240318,9,5,8,17.0
833886,2,2,11,44.0
1746480,3,2,21,273.0
329989,1,4,17,63.0
3835777,7,3,19,15.0
6655588,12,2,15,38.0
4108723,7,2,18,28.0
3810651,7,7,8,25.0
1690535,3,5,12,168.0
2305,1,4,21,29.0
3141358,6,7,13,39.0
3167027,6,1,7,12.0
3577292,6,7,8,124.0
5989921,11,2,12,19.0
375018,1,4,14,38.0
1220561,3,7,20,18.0
3016134,6,1,20,27.0
6318546,11,3,14,16.0
1249418,3,2,13,3.0
1777606,3,5,14,21.0
3840006,7,1,13,43.0
3381064,6,3,10,68.0
3709923,7,7,9,112.0
401346,1,2,10,2.0
6813285,12,5,12,7.0
3071554,6,3,21,41.0
557602,1,1,20,2.0
6292696,11,4,18,36.0
778099,2,6,7,20.0
6317555,11,4,8,162.0
1744764,3,5,10,11.0
6437150,11,7,18,49.0
2343707,4,5,17,12.0
6984845,12,6,11,63.0
1411009,3,7,6,7.0
6240503,11,7,12,169.0
4230963,7,5,13,11.0
202590,1,2,5,96.0
850811,2,7,11,98.0
895301,2,1,13,17.0
2042598,4,5,10,122.0
6170414,11,7,18,56.0
585206,1,2,20,104.0
5086782,9,5,15,3.0
803022,2,1,21,20.0
3661639,7,7,18,3.0
4478309,8,1,11,22.0
3662107,7,7,11,11.0
4729585,8,6,18,35.0
6041250,11,7,15,51.0
5207149,9,6,8,17.0
2343944,4,4,17,15.0
5477035,10,5,18,1.0
782106,2,2,7,48.0
6315944,11,2,8,17.0
5293773,9,3,9,7.0
4982318,9,1,18,25.0
10853,1,7,19,2.0
2460269,5,6,12,9.0
1500691,3,1,15,16.0
1827183,4,1,13,42.0
2593551,5,6,8,16.0
2972634,5,2,10,4.0
1793372,4,5,19,9.0
2274127,4,2,9,80.0
921405,2,5,11,64.0
5758672,10,5,9,616.0
6530586,12,2,19,20.0
5912756,10,4,8,51.0
2731042,5,2,15,15.0
6054001,11,1,17,19.0
5136197,9,6,15,75.0
5710439,10,1,12,1.0
6752200,12,5,11,4.0
3928648,7,7,18,144.0
4579566,8,1,9,35.0
6795584,12,3,18,47.0
347358,1,6,15,5.0
4653568,8,5,18,17.0
1844802,4,6,21,5.0
3339940,6,3,8,1.0
5872949,10,3,0,18.0
1921179,4,5,10,43.0
5437480,10,7,17,9.0
4468252,8,2,13,13.0
6666768,12,3,18,23.0
3795361,7,5,21,7.0
5645451,10,4,18,72.0
641082,2,3,17,9.0
2133991,4,5,10,71.0
3151948,6,1,7,15.0
6390145,11,4,16,13.0
6169878,11,6,16,24.0
1461340,3,3,19,4.0
5255387,9,3,19,46.0
1205623,3,3,17,5.0
6615327,12,7,16,15.0
1228146,3,3,16,3.0
3269075,6,4,9,19.0
599142,1,4,16,49.0
597805,1,3,8,13.0
5928825,10,7,19,18.0
5368857,9,2,10,64.0
4212754,7,5,6,19.0
5983767,11,7,11,1.0
1033397,2,6,13,68.0
747242,2,5,22,58.0
1943782,4,4,17,29.0
704360,2,4,6,25.0
1230769,3,3,20,4.0
579526,1,3,18,25.0
1126963,2,1,21,86.0
1935224,4,4,20,16.0
998513,2,1,22,28.0
3771644,7,7,12,10.0
6877891,12,3,18,54.0
1022045,2,7,11,11.0
681377,2,2,17,1.0
2682615,5,5,10,102.0
5157313,9,3,21,10.0
422181,1,1,13,6.0
252831,1,2,10,7.0
2009533,4,2,18,27.0
1013387,2,2,21,3.0
2883920,5,7,11,58.0
1801079,4,7,19,12.0
3421846,6,4,8,6.0
1207228,3,3,21,12.0
6359436,11,7,21,6.0
2453243,5,4,18,3.0
4136799,7,2,15,25.0
1088438,2,6,10,10.0
1447780,3,7,17,26.0
3868298,7,2,10,30.0
1299071,3,1,17,51.0
2295954,4,7,15,73.0
3499154,6,1,13,23.0
4525467,8,1,15,49.0
2587841,5,2,14,4.0
2215016,4,6,6,6.0
6828643,12,5,16,15.0
3515643,6,7,17,23.0
6027153,11,7,19,6.0
2230585,4,4,8,29.0
6544500,12,7,21,16.0
4757146,8,7,22,19.0
3621553,7,2,15,7.0
3558733,6,7,10,20.0
2301419,4,4,16,75.0
1593999,3,7,18,4.0
6469357,12,4,14,4.0
597234,1,2,9,8.0
2451642,5,4,19,4.0
2557878,5,4,9,13.0
1739897,3,4,7,23.0
1187483,3,4,21,27.0
5378690,9,3,14,27.0
4006464,7,7,10,32.0
6978040,12,1,10,15.0
681550,2,2,20,7.0
4783251,8,4,15,339.0
2453361,5,4,16,9.0
1098441,2,7,15,7.0
1032402,2,2,10,3.0
3439377,6,5,16,17.0
3357831,6,6,7,50.0
5965048,11,1,16,4.0
11747,1,7,19,5.0
609917,2,1,20,12.0
6515870,12,4,18,3.0
2046347,4,4,20,14.0
5975775,11,4,18,16.0
194504,1,3,16,17.0
7005754,12,3,17,5.0
3302561,6,7,20,19.0
1016866,2,5,16,11.0
6763768,12,1,9,19.0
6514635,12,4,15,23.0
5188933,9,4,17,61.0
3748865,7,2,11,44.0
343986,1,5,17,8.0
417461,1,2,15,75.0
3551593,6,4,13,9.0
6479999,12,7,8,29.0
6866680,12,5,18,21.0
4727270,8,3,18,81.0
3570761,6,7,20,17.0
6952318,12,4,16,4.0
